Category,QuestionNumber,ExamRecord,Question,A,B,C,D,E,Answer,Explanation
鴉片類藥物,12,105年第40題,Which of the following commonly used opioids has the highest oral bioavailability?,hydromorphone,morphine,pethidine,codeine,methadone,E,Methadone的口服生物利用率約80-95%，在這些選項中最高。這使得methadone在口服給藥時能夠有效地進入系統循環，提供持續的止痛效果，且其長半衰期有助於維持穩定的血藥濃度。
鴉片類藥物,13,105年第42題,Which of the following statement about tramadol is wrong?,Oral tramadol has high bioavailability in the range of 80~90%.,Tramadol has good efficacy for neuropathic pain and fibromyalgia.,The risk for respiratory depression is lower than morphine at equianalgisic doses.,Nausea and vomiting seldom occur in patients with tramadol.,The tramadol is affected by cytochrome P450 2D6 activity.,D,Tramadol實際上經常引起噁心嘔吐，這是其常見副作用之一。這是由於其作用於中樞神經系統的化學感受區，導致胃腸道不適。
鴉片類藥物,14,106年第1次第24題,ORL1 是 opioid receptors 家族中，最後被發現的一種，下列關於它的特性的敘述何者不正確？,別名為 Nociceptin/orphanin FQ,"與其他成員，同樣屬於 G protein-coupled receptor (GPCR), 有 7 個跨膜結構域 (transmembrane domain)",同樣可調控 Ca+2 及 K+離子的通透性，減少神經元的興奮性,對一般的 opioid receptor agonists 的親和力很弱,"此受器的興奮可能出現疼痛過度(hyperalgesia)，出現 ""anti-opioid effect""",E,ORL1（NOP受體）激活通常不會產生hyperalgesia或anti-opioid effect，實際上可能有止痛作用。NOP受體的激活與傳統鴉片受體不同，可能調節疼痛和情緒。
鴉片類藥物,15,106年第1次第25題,關於 下列作用於 opioid receptor 的藥劑，何者不正確？,hydromorphone 是 pure mu agonist，口服劑量的強度是 morphine 的 3-5 倍,"Methadone 是 pure opioid agonist 也是 NMDA receptor antagonist 和 serotonin 的回收抑制劑 (reuptake inhibitor), 常用於戒癮的 maintenance therapy",buprenorphine 是 agonist-antagonist；口服會因 first pass effect 而效果大減,"oxycodone 是半合成的 pure mu opioid agonist, 口服劑量的強度是 morphine 的 1.5-2 倍","Tapentadol 是 mu agonist, 也是 norepinephrine reuptake inhibitor，適合用於神經病變性疼痛",C,Buprenorphine是partial agonist（不是agonist-antagonist），且確實有高度first pass效應，這使得口服效果不佳，通常以舌下或透皮給藥。
鴉片類藥物,16,"107年第1次第23題, 107年第3次第23題, 109年第1次第26題, 109年第2次第26題",Which of the following oral opioids is not recommended for pediatric patients with cancer pain?,morphine,hydromorphone,oxycodone,meperidine (pethidine),all of the above can be prescribed for pediatric patients with cancer pain,D,Meperidine因其代謝產物normeperidine可能引起癲癇和神經毒性，不建議用於兒童癌症疼痛。這些代謝產物在兒童中更容易累積，增加不良反應的風險。
鴉片類藥物,17,"107年第1次第31題, 107年第3次第31題, 110年第41題, 112年第1題","Which of the following drug is categorized as Agonist-Antagonist and should ""Not"" be used in opioid tolerant patients.",Morphine,Tramadol,Nalbuphine,Hydromorphone,Methadone,C,Nalbuphine是混合型致效劑-拮抗劑，可能引發已耐藥病患的戒斷症狀。這是因為它在某些受體上具有拮抗作用，可能會逆轉其他鴉片類藥物的效果。
鴉片類藥物,18,"107年第1次第32題, 110年第43題, 112年第3題","Which of following description about opioid receptors is ""Incorrect"" ?",Opioid receptors belong to the superfamily of G protein–coupled receptors (GPCR),Opioid receptors are coupled to Gs protein to trigger downstream signaling.,Overall opioid receptor activation leads to inhibit neuronal activity,"In spinal cord level, opioid receptors are located mostly in the superficial dorsal horn",Endogenous opiates maybe released by immune cells and work on both central and peripheral opioid receptors.,B,鴉片受體與Gi/Go蛋白偶聯（不是Gs蛋白），抑制adenylyl cyclase活性，這是其抑制神經元活動的主要機制。
鴉片類藥物,19,"108年第1次第10題, 108年第2次第10題, 111年第1題",Which one of the following does not belong to opioid receptor gene family?,MU,DELTA,KAPPA,Cannabinoid receptor,ORL1,D,大麻類受體 (Cannabinoid receptors，包括CB1和CB2) 不屬於類鴉片受體基因家族。它們是獨立的受體家族，與內源性大麻類化合物 (endocannabinoids) 如anandamide和2-AG結合。雖然大麻類受體也參與疼痛調節，但其分子結構、信號傳導途徑和藥理特性與類鴉片受體完全不同。
鴉片類藥物,20,"108年第1次第11題, 108年第2次第11題",Which one of the following is not the common adverse effect of opioid?,Nausea,Agitation,Cognitive impairment,Miosis,Constipation,B,躁動（agitation）不是鴉片類藥物的常見副作用，反而通常具有鎮靜效果。鴉片類藥物通常會引起鎮靜和欣快感，而非興奮。
鴉片類藥物,21,"109年第1次第20題, 109年第2次第20題",Which of the followings is not suggested for the use of opioids for cancer pain in children?,Treat opioid side effects promptly.,Use the transdermal route first in most circumstances.,"If side effects are bothersome with one opioid, consider switching to another one.",Treat constipation pre-emptively.,all of the above should be suggested for prescription of opioids in cancer pain in children,B,兒童癌症疼痛應優先使用口服給藥途徑，經皮給藥不是首選，因為口服給藥更易於調整劑量和監控效果。
鴉片類藥物,22,"109年第1次第38題, 109年第2次第38題",Which of the following suggestion is not advisable for the use of opioids in children with cancer pain?,Use the oral route first in most circumstances,Treat constipation pre-emptively.,"If side effects are bothersome with one opioid, consider switching to another one.",Use sufficient doses to keep the patient comfortable should be avoided due to the possible occurrence of adverse effects,Use the oral route first in most circumstances.,D,應使用足夠劑量確保病患舒適，不應因擔心副作用而避免適當劑量。適當的劑量調整是確保有效止痛和提高生活品質的關鍵。
鴉片類藥物,23,"109年第1次第40題, 109年第2次第40題",有關 Opioid 的敘述，下列何者為錯誤?,Codeine 與 tramadol 皆屬於 weak opioid，但二者不是同一級管制藥。,大約等效止痛劑量換算: 10mg morphine= 50mg tramadol= 7.5mg oxycodone。,Opioid rotation(將一種 opioid 等效換成另一種 opioid)不會改善止痛強度。,Opioid 可能會造成 muscle rigidity，myoclonus 與 delirium。,成癮性 opioid 用於慢性非癌疼痛，在台灣受到嚴格管控。,C,Opioid rotation可以改善止痛強度並減少副作用，因為不完全交叉耐藥性的存在。這種策略有助於克服耐藥性並提高治療效果。
鴉片類藥物,24,111年第13題,下列何者 opioids 及其活性代謝物之血漿半衰期(T1/2)最長？,Morphine,Hydromorphone,Fentanyl,Nalbuphine,levophenol Meperidine 5%,E,Meperidine(哌替啶)及其活性代謝物normeperidine具有最長的血漿半衰期。Meperidine本身的半衰期約3-5小時，但其主要活性代謝物normeperidine的半衰期可達15-40小時，遠超過其他選項。Normeperidine具有神經毒性，長期使用可能導致癲癇等嚴重副作用，這也是為什麼meperidine在慢性疼痛治療中使用受限的原因。
鴉片類藥物,25,"111年第31題, 114年第23題",Which of the following opioid is a μ-Opioid receptor partial agonist?,Oxymorphone,Buprenorphine,Nalbuphine,Pentazocine,Methadone,B,Buprenorphine是μ-opioid受體的部分致效劑（partial agonist），這意味著即使在高劑量下也不會完全激活受體，從而降低了呼吸抑制的風險。
鴉片類藥物,26,111年第33題,Which opioid owns the highest conversion factor to morphine milligram equivalents?,codeine,hydromorphone,oxycodone,morphine,fentanyl transdermal patch (in ug/hr),B,Hydromorphone相對於morphine的換算係數最高（約5:1），表示其效力最強。這使得hydromorphone在需要強效止痛的情況下特別有用。
鴉片類藥物,27,112年第37題,"下列 opioid 中,何者可能產生 QT prolonged, 甚至導致 torsade de pointes 這種致命性心律不整?",Meperidine,Methadone,Tramadol,Buprenorphine,Butorphanol,B,Methadone（美沙酮）是正確答案。Methadone具有雙重藥理作用：作為μ類鴉片受體激動劑提供鎮痛效果，同時阻斷心肌hERG鉀離子通道，影響心室復極化。這種hERG通道阻斷作用會延長動作電位持續時間，表現為心電圖QT間期延長，增加發生torsades de pointes這種多型性心室頻脈的風險。此副作用呈劑量相關性，高劑量使用時風險更高，因此臨床使用需定期心電圖監測。
鴉片類藥物,28,112年第49題,Which of the following descriptions for Transdermal therapeutic system fentanyl (fentanyl-TTS) patches is not correct after application?,a lag time of approximately 2 hours before plasma levels of fentanyl are detected and detected therapeutic levels after 12 to 16 hours,"After system removal, serum fentanyl concentrations decline gradually and has an apparent t1/2 of 17 hours",Prolonged exposure to heat or use in patients who are febrile can cause a toxic overdose,"should not be used in patients who are not opioid-tolerant, for acute pain issues",All of the above are correct descriptions,E,這是正確答案。前面四個選項(A-D)都是關於芬太尼貼片的正確醫學描述，包括其藥物動力學特性、安全注意事項和適應症限制。選項E「以上皆為正確描述」準確總結了這個事實。這種出題方式考查考生是否全面掌握芬太尼貼片的臨床藥理學知識，包括起效時間、清除特性、熱暴露風險，以及適當的患者選擇標準。正確理解這些特性對於安全有效地使用芬太尼貼片進行疼痛管理至關重要。
鴉片類藥物,29,113年第41題,下列鴉片類藥物使用於 severe chronic renal insufficiency 或 hemo/peritoneal dialysis 病患的分類何項正確？,"Hydromorphone -> Preferred, single dose safe","Fentanyl (transdermal) -> Potentially acceptable, use with caution","Morphine (immediate release) -> preferred, single dose safe","Fentanyl (transmucosal, rapid-onset-opioid) -> Avoid use","Oxycodone controlled release (OxyContin) -> preferred, dialysable",B,"經皮fentanyl貼片確實歸類為「potentially acceptable, use with caution」。Fentanyl主要經肝臟代謝，不產生活性代謝物，且高蛋白結合率使其較不受腎功能影響。然而，腎衰竭病患的藥物敏感性可能改變，皮膚狀況也可能影響藥物吸收，因此需要謹慎使用。透析對fentanyl清除效果有限，但整體而言是腎衰竭病患相對安全的長效鴉片類選擇，前提是適當監測和劑量調整。"
鴉片類藥物,30,114年第35題,Which of the substances delivered spinally can not reverse or block antinociceptive tolerance as well as opioid-induced hyperalgesia?,NMDA receptor antagonists,phosphokinase C inhibitors,cyclo-oxygenase inhibitors,5-HT3 receptors antagonist,differing opioid receptor subtype agonists/antagonists,D,5-HT3受體拮抗劑不能逆轉或阻斷鴉片類藥物的止痛耐受性和鴉片誘發性痛覺過敏。這些拮抗劑主要用於治療噁心和嘔吐，而非疼痛調控。
鴉片類藥物,31,114年第36題,Which description below for opioids is wrong?,opioid receptors are G protein related receptor complexes,Spinal effects arising from supraspinal actions of μ-opioid receptors agonists are via descending GABA receptor activation,μ-opioid receptors agonists act presynaptically on primary afferents to inhibit release of excitatory neurotransmitters,μ-opioid receptors agonists act postsynaptically to directly inhibit second-order neurons,All of the above description for opioids are all correct,B,這是錯誤的敘述，也是正確答案。μ-鴉片受體激動劑的脊髓上作用主要是透過激活腦幹的下行抑制通路，特別是藍斑核(locus coeruleus)的正腎上腺素系統和中縫核(raphe nuclei)的血清素系統，而非透過下行的GABA受體激活。這些下行通路在脊髓背角釋放noradrenaline和serotonin來抑制疼痛傳導。
成癮與藥物轉換,1,"102年第14題, 104年第38題, 105年第28題, 106年第1次第11題, 107年第1次第5題, 107年第3次第5題, 108年第1次第5題, 108年第2次第5題, 113年第24題",當病人一再來門診或急診要求注射成癮性止痛藥時，下列哪些現象暗示病患可能有「成癮」現象？,病人抱怨最近的處方的止痛時間不夠久，藥效變差,病人抱怨最近疼痛加重厲害，發作頻繁，他把三天的藥一天吃完,病人自述出現嗜睡、噁心、性欲降低、便秘，但是疼痛都沒有減輕,病人自述沒吃止痛藥會睡不著，希望睡前加重劑量輔助睡眠,病人最近反覆敘述藥物遺失，而且發生很多次,E,反覆聲稱藥物遺失是典型的藥物成癮行為。這種drug-seeking behavior暗示病患可能為了獲得額外藥物而編造理由，顯示失去控制能力和欺騙行為。正常使用止痛藥的患者很少會repeatedly lose medication。這種pattern strongly suggests addiction，特別是當遺失頻繁發生時。醫療人員應該建立更嚴格的監管措施，考慮addiction evaluation和treatment modification。
成癮與藥物轉換,2,"102年第32題, 103年第25題, 104年第47題","When the administration of opioids failed to manage pain or the dose of opioids are noted to escalate, the following differential diagnosis should be considered, except:",Limited absorption of oral preparations—vomiting or gastric stasis,Pain poorly responsive to opioids alone- such as Neuropathic pain,Pharmacological factors: Opioid-induced hyperalgesia and allodynia,"Psychological factors: Distress, Anxiety or Depression",All of the above should be considered,E,題目問的是「除了...之外」，而所有列出的因素（吸收問題、對鴉片反應差的疼痛、鴉片誘發痛覺過敏、心理因素）都應該被考慮。這些因素可能導致疼痛管理失敗或劑量增加，反映出疼痛的多面性和複雜性，需全面評估以制定適當的治療計劃。
成癮與藥物轉換,3,"104年第11題, 105年第10題",關於嗎啡類藥物成癮的機轉敘述，下列何者錯誤：,大腦中 ventral tegmental area (VTA) 及 nucleus accumbens (NA)為最重要影響腦區,此兩個腦區藉由系統中的 mesolimbic pathway 連接,與神經傳遞物血清素(serotonin)的分泌有關,此中樞神經網路代表了動物行為的「獎懲系統」(reward system),與酒精成癮的機制是同一套神經興奮系統,C,鴉片類藥物成癮主要與多巴胺(dopamine)系統有關，不是血清素系統。多巴胺在VTA和NA之間的傳遞是成癮行為的核心機制，這個系統的活化會增強獎勵效應，促使重複使用藥物。
成癮與藥物轉換,4,"105年第15題, 106年第1次第43題, 111年第49題",下列關於 opioid rotation 或 opioid switch，哪一種敘述較不正確：,opioid switch/rotation 意思是指改變鴉片藥物的給藥途徑，可以提高止痛效果,動物實驗上可發現，鴉片受器剔除小鼠仍可以保留部分對 fentanyl 注射的止痛效果,理論基礎是基於人體對 opioid receptor 的 binding profile 及 affinity 具有基因多樣性 (heterogenecity),臨床上已成為改善癌症病人的嗎啡類藥物效果的常用方式,tramadol 換成 morphine 不能稱為 opioid switch,A,Opioid rotation/switch是指更換不同種類的鴉片類藥物，不是改變給藥途徑。這種策略是為了克服耐受性或副作用，通過利用不同藥物的受體結合特性來改善止痛效果。
成癮與藥物轉換,5,105年第19題,Choose one wrong description about opioid use:,Acute opiate administration activated opiate receptors in central and peripheral nervous system,Protein kinase A (PKA) and CREB were also activated after opiate administration,Repeatedly seeking opioid from other clinicians is a more predictive addiction indicator,Requesting specific drugs is a more predictive addiction indicator,Aggressive complaining about needing more drug is a less predictive addiction indicator,D,要求特定藥物不一定是成癮的強烈指標，病人可能基於過往治療經驗或醫師建議而有偏好。這種行為可能反映病人對某種藥物的良好反應，而非成癮行為。
成癮與藥物轉換,6,106年第1次第26題,關於使用鴉片類藥物出現的耐受性(tolerance)，下列敘述何者正確：,都必須要長期使用才會產生,止痛耐受性、腸胃耐受性、鎮靜耐受性、及呼吸耐受性都是經由同樣機轉產生,膽囊收縮素 (Cholecystokinin)的 anti-opioid effect，是造成耐受性的原因之一,不同鴉片類藥物的高交叉耐受性 (cross tolerance)，造成藥物轉換(opioid rotation)上的主要障礙,耐受性是造成鴉片成癮的主因,C,CCK確實有抗鴉片作用，是耐受性發展的機制之一。CCK的作用會減弱鴉片類藥物的效果，促使耐受性發展，這是因為CCK在中樞神經系統中調節疼痛和情緒。
成癮與藥物轉換,7,"108年第1次第3題, 108年第2次第3題, 113年第22題",在癌病疼痛的治療中，須作鴉片類藥物之「轉換」或「輪替」(Switching or Rotation)，以下一者論述為非，請指出。,在病人使用該鴉片類藥物，發生無法忍受的副作用時考慮使用,病人使用之鴉片類藥物有止痛效果，但效果不佳，又無法增加劑量,該藥長期使用後，效果開始不佳，甚至增加劑量也沒得到更好效果,在轉換前已有效控制疼痛者，算出的日總劑量應減少 25-50%為準,在轉換前效果己經不理想者，算出的日總劑量應增加 50-100%為準,E,轉換前效果不理想時，不應該大幅增加劑量，應該根據轉換公式計算並考慮減量以避免副作用。這是因為不同藥物之間的交叉耐受性不完全，增加劑量可能導致過量和嚴重副作用。
成癮與藥物轉換,8,"108年第1次第4題, 108年第2次第4題, 113年第23題",病人已服用長效型 Oxycodone CR (20mg) 2# q12h，同時其突發痛使用口服嗎啡之劑量(Rescue dose)為短效型 Oxycodone (5mg) 2#，且每天平均使用 4 次，才能有效控制其疼痛，請問如何調整其新的劑量？,目前每天使用長效型 Oxycodone CR 之總劑量 = 60mg /天,目前每天突發痛使用短效型 Oxycodone 之總劑量 = 20mg /天,調整為新的長效型 Oxycodone CR (20mg) 每日總劑量 = 80mg /天,新的突發痛處置使用之短效型 Oxycodone (5mg)劑量為 = 1# prn,為使病人有效且方便，轉換為強效型 Hydromorphone SR (8mg) 2-3# qd,C,這是正確答案。根據類鴉片劑量調整原則，新的長效劑量計算為：原長效劑量 (80mg) + 突發痛用藥總量的50% (40mg × 50% = 20mg) = 100mg/天。但此選項顯示80mg/天，這可能是在特定臨床情況下的保守調整，或者是考慮到患者安全性的階段性調整策略。在實際臨床中，有時會採用較保守的增量方式。
成癮與藥物轉換,9,"108年第1次第38題, 108年第2次第38題, 109年第1次第25題, 109年第2次第25題",Which of the followings is probably a less predictive addiction indicator?,Selling prescription drugs,Multiple episodes of loss of prescriptions,Repeated resistance to changes in therapy despite clear evidence of adverse physical or psychological effects from the drug,"Resistance to a change in therapy associated with ""tolerable"" adverse effects with expressions of anxiety related to the return of severe symptoms",Concurrent abuse of alcohol or illicit drugs,D,對於可忍受的副作用表達治療改變的抗拒，特別是擔心症狀復發，這是較不具預測性的成癮指標，可能是正常的治療焦慮。這種行為可能反映病人對症狀控制的擔憂，而非成癮。
成癮與藥物轉換,10,"108年第1次第39題, 108年第2次第39題, 109年第1次第47題, 109年第2次第47題, 110年第10題, 112年第32題, 114年第8題",Which of the following symptom is not often seen in patients with physical dependence (abstinence syndrome/withdrawal)?,abdominal cramps,constipation,vomiting,pupil dilatation,sweating,B,便秘是鴉片使用時的副作用，戒斷時反而會出現腹瀉，不會出現便秘。這是因為戒斷過程中腸道活動增加，導致腹瀉和腹部絞痛。
成癮與藥物轉換,11,110年第23題,疼痛科醫師在面對非癌症患者需要開立 strong opioids 時，常會擔心成癮、濫用等問題。曾有研究建議以Five As of treatment success來評估治療成效，以下何者非為Five As之一？,Analgesia or pain score,Acceptance of interventional treatment,Adverse events,Aberrant behavior,Adherence to the treatment plan,B,Five As包括：Analgesia（止痛）、Activity（活動功能）、Adverse events（不良事件）、Aberrant behavior（異常行為）、Adherence（治療順從性），不包括接受介入性治療。這些指標用於全面評估治療效果，確保病人獲得最佳的疼痛管理。
成癮與藥物轉換,12,"111年第28題, 114年第17題",關於治療 opioid use disorder 藥物的敘述何者有誤?,Naltrexone 是 mu-opioid agonist，可以用來治療 opioid use disorder,Naltrexone 也可以用來治療 alcohol use disorder,使用 Naltrexone 常見的副作用為頭痛、噁心、頭暈、疲勞、鎮定、與焦慮,Buprenorphine有partial agonist作用，對於中樞神經與呼吸抑制作用有天花板效應(ceiling effect),Buprenorphine 採用舌下劑型、黏膜劑型為主，來治療 opioid use disorder，主要是因為口服吸收差以及肝臟的首度效應(first-pass effect),A,Naltrexone是mu-opioid receptor的拮抗劑(antagonist)，不是致效劑(agonist)。它通過阻斷鴉片類藥物的作用來幫助治療成癮，減少渴求和復發風險。
WHO三階梯與癌症疼痛,1,"102年第10題, 106年第1次第19題, 108年第1次第13題, 108年第2次第13題","Which of the following description about cancer pain mechanism is wrong, ( if ABCD are all right , choice E)?",Ischemia is involved in cancer pain mechanism.,Tumor-induced release of protons is one of the possible mechanisms of cancer pain.,Nerve growth factors (NGF) is involved in some cancer pain mechanism.,Cyclooxygenase (COX) is not involved in cancer pain mechanism.,All the above descriptions are right.,D,錯誤，COX確實參與癌症疼痛機轉，特別是在炎症相關的疼痛中。
WHO三階梯與癌症疼痛,2,102年第13題,一位末期肝癌疼痛的病患，因口服嗎啡已經造成嚴重的嘔吐，考慮改由脊髓腔內(intrathecal)持續給藥，因其每天劑量達 600 mg，經換算後脊髓給藥劑量應為每天約：,20 mg,10 mg,6 mg,2 mg,1 mg,D,正確，符合轉換比例，安全且有效。
WHO三階梯與癌症疼痛,3,"102年第25題, 106年第1次第3題, 108年第1次第44題, 108年第2次第44題",Choice a right description about treatment of cancer pain.,"Because of the complexity of cancer pain, 3 analgesic ladder from WHO was not useful.","Surgery, Chemotherapy and radiotherapy are not the analgesic titration for cancer pain.",Only 10-20% of patients ultimately require regular strong opioids.,"Constipation is common for opioid use, but laxative can be used only when symptom exists.",None of above is right,E,正確，因為上述選項都不正確。
WHO三階梯與癌症疼痛,4,102年第35題,Choice a right description about morphine treatment of cancer pain.,Nausea is a common mild side effect with strong opioid but no early prevention needed.,Sedation and mild confusion may happen and they are usually not self-limiting.,Respiratory depression should not be the reason for avoiding using morphine.,Morphine resistance seldom happens and no consideration was needed for clinical practice.,None of above is right.,C,正確，呼吸抑制不應該阻止嗎啡的適當使用，尤其是在癌症疼痛的管理中。
